year_month,mkt_investment,total_revenue
2024-11,2250000,6102650
2024-12,2230000,6428933
2025-01,2373000,6827426
2025-02,2408000,7346968
2025-03,2486000,7560717
2025-04,2645000,8257291
2025-05,2674000,8583198
2025-06,2829000,9103978
2025-07,2807000,9350224
2025-08,3326000,10066824
2025-09,3267000,10792197
2025-10,3299000,11288067
2025-11,3197000,11499399
2025-12,3660000,12398755
2026-01,3484000,13040758
2026-02,3663000,13695304
2026-03,3705000,14254661
2026-04,3873000,14686856
2026-05,4179000,15630311
2026-06,4381000,16759511
2026-07,4194000,17465880
